arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct,cpu_credit_balance,cpu_surplus_credit,cpu_util_peak_pct
A1,1000,rep18,2026-06-16T12:16:27+00:00,2026-06-16T12:20:58+00:00,271.0,2302.172950736647,1.104971,53.6226646,4442.061980900023,60007.040031,0.0,145.36348853104803,39203,0.0971864398132796,3810,35393,12,1000,39203,20.03237880671859,97.28460515,0.0,77.29585453332221
A1,1000,rep19,2026-06-16T12:46:01+00:00,2026-06-16T12:50:31+00:00,270.0,2326.1680359192287,1.0987464999999998,53.66259390000001,5236.37962259998,60012.451435,0.0,145.45440174614671,39224,0.09695594533958801,3803,35421,6,1000,39224,13.441085549230527,96.82706985,0.0,63.441488030694806
A1,1000,rep20,2026-06-16T13:15:34+00:00,2026-06-16T13:20:05+00:00,271.0,2274.298730975202,1.030445,53.418786700000005,4229.505640349993,60008.648039,0.0,145.42910087079582,39224,0.0976442994085254,3830,35394,7,1000,39224,51.84555766011528,101.57115865202952,0.0,79.38333333333333
A1,1000,rep21,2026-06-17T10:18:30+00:00,2026-06-17T10:23:00+00:00,270.0,2197.9893756204406,1.128546,53.694277199999995,3059.104242799999,60014.733788,0.0,145.92835529275158,39237,0.09926854754440961,3895,35342,9,1000,39237,48.22717439153316,93.01657551666666,0.0,77.28909036365454
A1,1000,rep22,2026-06-17T10:48:05+00:00,2026-06-17T10:52:36+00:00,271.0,2293.791285424607,1.090532,53.3851396,4125.449918999469,60001.009287,0.0,145.65249469140815,39265,0.09700751305233668,3809,35456,10,1000,39265,44.415125674227156,92.4573049,0.0,75.6463719766472
A1,1000,rep23,2026-06-17T11:17:39+00:00,2026-06-17T11:22:09+00:00,270.0,2269.878252747419,1.116467,53.2327612,3300.2772006000023,60011.246897,0.0,146.07366441000474,39243,0.09749509466656474,3826,35417,2,1000,39243,36.66711014183156,91.77919485666666,0.0,77.96940937067369
A1,1000,rep24,2026-06-17T11:47:11+00:00,2026-06-17T11:51:42+00:00,271.0,2315.73275719647,1.038668,53.5467225,4987.191412,60064.165395,0.0,145.7278242388674,39226,0.0969764951817672,3804,35422,8,1000,39226,30.679703760454252,91.13688896666666,0.0,75.05
A1,1000,rep25,2026-06-17T12:16:44+00:00,2026-06-17T12:21:14+00:00,270.0,2256.697252808492,1.103492,53.46117490000002,2721.4669031500043,60014.584317,0.0,146.57312436859263,39308,0.09781723822122723,3845,35463,8,1000,39308,22.550083970899156,90.49174163419754,0.0,77.075
A1,1000,rep26,2026-06-18T10:36:58+00:00,2026-06-18T10:41:27+00:00,269.0,2279.43355082292,0.8696855,53.39404270000001,3536.8234691499706,60014.66495,0.0,146.37709339701968,39264,0.09734107579462102,3822,35442,13,1000,39264,27.30557620817843,100.31705809591078,0.0,77.425
A1,1000,rep27,2026-06-18T11:06:31+00:00,2026-06-18T11:11:02+00:00,271.0,2290.806675965612,0.9216305,53.475849600000004,4459.6428204999465,60008.417818,0.0,145.44622390673672,39232,0.09747145187601958,3824,35408,14,1000,39232,22.532927429274288,99.90008380848708,0.0,76.04166666666666
A1,1000,rep28,2026-06-18T11:36:05+00:00,2026-06-18T11:40:36+00:00,271.0,2240.6217315550703,0.785351,53.2675084,3124.6892049998314,60017.282448,0.0,145.78364541888098,39297,0.09817543323917856,3858,35439,3,1000,39297,16.716666666666665,99.98164461666667,0.0,77.25
A1,1000,rep29,2026-06-18T12:05:38+00:00,2026-06-18T12:10:08+00:00,270.0,2282.465492989917,0.819152,53.270356199999995,4863.646552099681,60002.163976,0.0,146.3561329022005,39255,0.0973124442746147,3820,35435,4,1000,39255,47.80369135802469,104.79538093419752,0.0,76.79166666666667
A1,1000,rep30,2026-06-18T12:35:11+00:00,2026-06-18T12:39:40+00:00,269.0,2266.650100208012,0.837154,53.08714620000001,2873.2723253500585,60007.956377,0.0,146.4734753203799,39338,0.0972088057349128,3824,35514,13,1000,39338,57.19333333333334,104.54614791666667,0.0,77.25
A1,2000,rep01,2026-06-24T02:35:41+00:00,2026-06-24T02:40:13+00:00,272.0,2480.0472454434444,0.546801,53.299151599999995,7882.193433699891,60029.076416,0.0,171.2380926914094,46235,0.22891748675246026,10584,35651,18,2000,46196,57.69885264106564,85.67527287126225,0.0,78.43022868191213
A1,2000,rep02,2026-06-24T02:42:16+00:00,2026-06-24T02:46:47+00:00,271.0,2485.087396933636,0.548709,53.085245,8137.944858,60019.841335,0.0,171.33457530312822,46261,0.22695142776853072,10499,35762,17,2000,46220,36.29683831126588,77.64993346666667,0.0,77.71796196603276
A1,2000,rep03,2026-06-24T02:48:50+00:00,2026-06-24T02:53:21+00:00,271.0,2453.9794281953527,0.547732,53.265284699999995,8505.288316249842,60048.960191,0.0,171.21998257226454,46230,0.22857451871079384,10567,35663,19,2000,46177,45.454807037082084,74.83767868499385,0.0,77.10175333433237
