arquitetura,carga_vus,replica,inicio,fim,duracao_s,lat_avg_ms,lat_med_ms,lat_p90_ms,lat_p95_ms,lat_max_ms,lat_min_ms,throughput_rps,total_reqs,taxa_erro,reqs_falhas,reqs_sucesso,vus_min,vus_max_atingido,iterations,cpu_util_pct,cpu_credit_balance,cpu_surplus_credit,cpu_util_peak_pct,cpu_util_pct_ec2_1,cpu_credit_balance_ec2_1,cpu_surplus_credit_ec2_1,cpu_util_peak_pct_ec2_1,cpu_util_pct_ec2_2,cpu_credit_balance_ec2_2,cpu_surplus_credit_ec2_2,cpu_util_peak_pct_ec2_2,cpu_util_pct_media_instancias,cpu_util_pct_max_instancia,alb_target_response_time_p95_ms,alb_active_connections,alb_healthy_host_count
A1,100,rep21,2026-06-16T23:44:19+00:00,2026-06-16T23:48:21+00:00,242.0,16.324396696771995,0.6364179999999999,51.3773957,52.33251595,84.357779,0.220842,85.853622764366,20694,0.0,0,20694,2,100,20694,43.20561508639387,88.02252043333333,0.0,62.43333333333332,,,,,,,,,,,,,
A1,100,rep22,2026-06-16T23:58:38+00:00,2026-06-17T00:02:40+00:00,242.0,16.807248780023176,0.5502365,52.4629629,54.29211205,148.988852,0.231294,85.81605580322228,20684,0.0,0,20684,2,100,20684,41.75716530823399,84.93680363333333,0.0,62.34166666666666,,,,,,,,,,,,,
A1,100,rep23,2026-06-17T00:27:43+00:00,2026-06-17T00:31:45+00:00,242.0,16.532982463244835,0.542972,52.327256,54.2386625,170.809871,0.239301,85.84094032790674,20691,0.0,0,20691,2,100,20691,31.002919364639,85.37694418333334,0.0,62.15343113583001,,,,,,,,,,,,,
A1,100,rep24,2026-06-17T00:56:48+00:00,2026-06-17T01:00:50+00:00,242.0,16.651565645370162,0.5591245,52.3847213,54.01312815,151.535094,0.233436,85.84242162113495,20692,0.0,0,20692,2,100,20692,19.57590628551641,85.3963557,0.0,60.413301583601154,,,,,,,,,,,,,
A1,100,rep25,2026-06-17T01:25:53+00:00,2026-06-17T01:29:55+00:00,242.0,16.521014103024957,0.548514,52.2556523,53.83242815,128.304633,0.237955,85.84994013902282,20694,0.0,0,20694,2,100,20694,36.33668377574719,89.52379568333333,0.0,64.21666666666665,,,,,,,,,,,,,
A1,100,rep26,2026-06-17T18:59:22+00:00,2026-06-17T19:03:24+00:00,242.0,16.363627163509758,0.7204055,51.3525905,52.32278175,71.918507,0.295551,85.87472075671963,20696,0.0,0,20696,2,100,20696,44.406297155762886,85.69047263333333,0.0,62.754387135517455,,,,,,,,,,,,,
A1,100,rep27,2026-06-17T19:28:27+00:00,2026-06-17T19:32:29+00:00,242.0,16.259877906991377,0.677508,51.383635600000005,52.3811252,124.38983,0.274478,85.86320631633062,20697,0.0,0,20697,2,100,20697,40.39333333333334,86.13554533333334,0.0,61.30833333333334,,,,,,,,,,,,,
A1,100,rep28,2026-06-17T19:57:32+00:00,2026-06-17T20:01:34+00:00,242.0,16.460666597777212,0.700758,51.4730648,52.4500985,172.423346,0.277548,85.8561935960756,20695,0.0,0,20695,2,100,20695,29.497751066633395,85.94157865,0.0,60.26990508282315,,,,,,,,,,,,,
A1,100,rep29,2026-06-17T20:26:37+00:00,2026-06-17T20:30:38+00:00,241.0,16.20676354487933,0.719516,51.39127940000001,52.3644834,110.565933,0.282032,85.88400199748266,20700,0.0,0,20700,2,100,20700,18.44831582056801,86.49272194999999,0.0,60.30833333333332,,,,,,,,,,,,,
A1,100,rep30,2026-06-17T20:55:42+00:00,2026-06-17T20:59:43+00:00,241.0,16.43309521311558,0.740027,51.433641,52.3828734,81.697163,0.289673,85.84757256049882,20693,0.0,0,20693,2,100,20693,37.14838058872759,91.45180365,0.0,62.43755411976287,,,,,,,,,,,,,
A1,500,rep01,2026-06-10T01:15:21+00:00,2026-06-10T01:19:38+00:00,257.0,1869.3829693060345,1.5766785,52.9150075,56.6442955,60014.954647,0.0,138.7957764106266,35456,0.0221683212996389,786,34670,8,500,35456,58.33414981142293,85.45425895,0.0,76.73333333333332,,,,,,,,,,,,,
A1,500,rep02,2026-06-10T01:44:41+00:00,2026-06-10T01:48:57+00:00,256.0,1871.6420451842605,1.584854,52.9513342,57.48569459999998,60038.476425,0.0,138.65098840134075,35419,0.0221632457155763,785,34634,8,500,35419,58.06511238790085,84.618518,0.0,76.02548918211086,,,,,,,,,,,,,
A1,500,rep03,2026-06-10T02:14:01+00:00,2026-06-10T02:18:18+00:00,257.0,1867.0756550851995,1.4873795,52.9721796,56.96572599999999,60004.891374,0.0,138.85638962903084,35454,0.0220567495910193,782,34672,7,500,35454,49.59755948633624,83.90644405,0.0,76.39745341821938,,,,,,,,,,,,,
A1,500,rep04,2026-06-10T02:43:21+00:00,2026-06-10T02:47:38+00:00,257.0,1867.2651532737443,1.51549,52.9534302,56.84377580000002,60010.396905,0.0,138.78803063243228,35453,0.0220855780893013,783,34670,8,500,35453,40.956043632680185,83.17184763333333,0.0,77.50833333333334,,,,,,,,,,,,,
A1,500,rep05,2026-06-10T03:12:41+00:00,2026-06-10T03:16:57+00:00,256.0,1871.3569219921735,1.616438,52.9746042,57.0433975,60019.720689,0.0,138.687765034316,35427,0.0221017867728004,783,34644,7,500,35427,31.439739809892064,82.27100865,0.0,78.05703238279362,,,,,,,,,,,,,
A1,500,rep06,2026-06-11T23:27:55+00:00,2026-06-11T23:32:12+00:00,257.0,1869.8697611272707,1.4578125,52.902601,56.59518570000001,60001.213543,0.0,138.72056740707447,35438,0.0221795812404763,786,34652,8,500,35438,32.20054706949715,115.18386623508432,0.0,76.30833333333334,,,,,,,,,,,,,
A1,500,rep07,2026-06-11T23:57:15+00:00,2026-06-12T00:01:33+00:00,258.0,2155.7428903162327,1.7205395,53.9686858,108.77846944999231,60057.852472,0.262966,129.40361072214176,33262,0.0266069388491371,885,32377,1,500,33262,17.042251863017324,114.82300455,0.0,51.527990925468735,,,,,,,,,,,,,
A1,500,rep08,2026-06-12T00:26:36+00:00,2026-06-12T00:30:52+00:00,256.0,1870.3740188098332,1.480565,53.1117154,56.64316380000001,60012.27026,0.0,138.7792250170028,35453,0.0221137844470143,784,34669,8,500,35453,13.882948166056076,114.3416763,0.0,66.88296523653834,,,,,,,,,,,,,
A1,500,rep09,2026-06-12T00:55:55+00:00,2026-06-12T01:00:11+00:00,256.0,1870.9095183515824,1.484359,52.7721819,55.92890075,60001.055626,0.0,138.75827097744582,35448,0.0221451139697585,785,34663,8,500,35448,53.7086537665535,119.0190556282552,0.0,80.40967349455825,,,,,,,,,,,,,
